unit_id,unit,second_id,origin,owner_name,bnetza_id,latitude,longitude,city,countrycode,description,valid_from,valid_until,deftech,old_deftech,fuel,effective_startdate,max_power,techclass,unittype,operationmode,default_node_id,voltage_level,AnnualOaMcosts,AvgEff,CapSp,Capture_Rate,CH4,ContributionMinOnl,DeSO2,InvestCosts,LeadTime,LifeTime,MaxEff,MaxSpinResPri,MinDownTime,MinOperTime,MinPower,NonSpinningReserve,NOX,PartEff,Reliab,StartUpFuelConsHot,StartUpVarCosts,SyncTimeHot,VarOaMcosts,GSSHADOWCONTENT,GSSHADOWONLINE,GSCONTENTHYDRORES,GSCONTENTSTORAGE,GSELEC,GSHEAT,GSONLINE,GSOPTIME,GSSDTIME,FlexibleToWind,IsAlwaysRunning,OutTimeStartUpCosts,SpeReserveCapability,SpinningReserve,Vgonline,MaxRes_aFRR,MaxRes_FCR,CHP_CB,Ext_CV,LoadLoss,Sto_LoadEff,Sto_MaxCharging,Sto_MaxContent,Sto_MinCharging,Sto_MinContent,CHP_MaxHeat
7376,Werk Klein Wanzleben,8567,UeNB,Nordzucker AG – Werk Klein Wanzleben,BNA1506,52.06580552,11.42103222,Klein Wanzleben,DE,BNA1506,34335,25569,GAS_ST_EXC_b1989,GASST89_EXC,NAT_GAS,34335,23.4,ST_EXC,ST,CHP2,,,19.0,0.35,57.9505,0.0,0,0.0,0,550,0,35,0.31,0.1666667,4,4,9.39978,0,0,0.27,0.95,145.08,3,0,1.2,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.28,0.028,0.57,0.15,,,,,,,25.16732
7377,HKW Chemnitz  Nord IIBlock A,8629,UeNB,eins energie in sachsen GmbH & Co. KG,BNA0178,,,Chemnitz,DE,BNA0178,31413,25569,LIGN_ST_BKP,LIGN83_BKP,NAT_GAS,31413,57.2,ST_BKP,ST,CHP1,,,52.4,0.22,17.80417,0.0,0,0.0,0,2300,5,35,0.377,0.1619048,8,8,8.99756,0,0,0.337,0.96,286.0,5,5,1.6,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.2,0.02,0.35,,,,,,,,165.0
7378,HKW Dresden-Nossener Brücke (3 GT + 1 DT – Sammel,8631,UeNB,DREWAG Stadtwerke Dresden GmbH,BNA0207,51.042243,13.708764,Dresden ,DE,BNA0207,34700,25569,GAS_CC_EXC_b1999,GASCC99_EXC,NAT_GAS,34700,250.0,CC_EXC,CC,CHP2,,,19.0,0.52,169.1799,0.0,0,0.0,0,950,0,35,0.52,0.1314286,4,8,135.0,0,0,0.48,0.96,875.0,8,2,1.2,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.34,0.034,1.423823,0.15,,,,,,,480.0
7379,Kombikraftwerk Eilenburg,8632,UeNB,Stora Enso Sachsen GmbH,BNA0233,51.49575767,12.68609339,Eilenburg,DE,BNA0233,33970,25569,GAS_CC_BKP_b1999,GASCC99_BKP,NAT_GAS,33970,46.6,CC_BKP,CC,CHP1,,,19.0,0.47,103.1042,0.0,0,0.0,0,950,0,35,0.52,0.1314286,4,8,25.99814,0,0,0.48,0.96,163.1,8,2,1.2,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.34,0.034,1.17,,,,,,,,40.0
7380,Heizkraftwerk Leipzig-Nord,8634,UeNB,Stadtwerke Leipzig GmbH,BNA0588,51.35321585,12.36154403,Leipzig,DE,BNA0588,35065,25569,GAS_CC_BKP_b1999,GASCC99_BKP,NAT_GAS,35065,167.0,CC_BKP,CC,CHP1,,,19.0,0.47,103.1042,0.0,0,0.0,0,950,0,35,0.52,0.1314286,4,8,123.9975,0,0,0.5,0.96,584.5,8,2,1.2,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.34,0.034,0.84,,,,,,,,200.0
7381,K&N PFK AG EVGT / GDT Kriebstein,8644,UeNB,Kübler & Niethammer Papierfabrik Kriebstein AG,BNA1329,50.98867138,12.98527054,Kriebstein,DE,BNA1329,33970,25569,GAS_GT_CH1_b1999,GASGT99_BKP,NAT_GAS,33970,12.75,GT_CH1,GT,CHP1,,,40.0,0.33,9.627826,0.0,0,0.0,0,440,0,35,0.3,0.2285714,1,1,3.000075,1,0,0.26,0.96,14.025,8,0,1.2,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.68,0.068,0.6,,,,,,,,21.17654
7382,EVC / GLOBALFOUNDRIESEVC I Moritzburg,8645,UeNB,Energieversorgungscenter Dresden-Wilschdorf GmbH & Co. KG,BNA1396,51.16435976,13.68808622,Moritzburg,DE,BNA1396,35796,25569,GAS_ST_EXC_b1999,GASST99_EXC,NAT_GAS,35796,34.7,ST_EXC,ST,CHP2,,,40.0,0.36,13.76228,0.0,0,0.0,0,550,0,35,0.36,0.1666667,4,4,10.00054,0,0,0.32,0.96,215.14,3,0,1.53,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.34,0.034,0.48,0.15,,,,,,,62.1
7383,STW Weißenborn,8647,UeNB,Schoeller Technocell GmbH & Co. KG,BNA1407,50.90976804,13.35049033,Weißenborn,DE,BNA1407,39083,25569,GAS_ST_EXC_f2000,GASST22_EXC,NAT_GAS,39083,13.5,ST_EXC,ST,CHP2,,,40.0,0.4,48.99576,0.0,0,0.0,0,550,0,35,0.4,0.1666667,4,4,4.00005,0,0,0.36,0.97,83.7,3,0,1.53,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.4,0.04,0.55,0.15,,,,,,,14.51961
7384,GuD-Heizkraftwerk Leppersdorf,8648,UeNB,Sachsenmilch Leppersdorf GmbH,BNA1556,51.13222043,13.91747786,Leppersdorf,DE,BNA1556,41640,25569,GAS_CC_EXC_f2000,GASCC22_EXC,NAT_GAS,41640,35.0,CC_EXC,CC,CHP2,,,19.0,0.56,317.2321,0.0,0,0.0,0,950,0,35,0.53,0.1314286,4,8,11.0005,0,0,0.47,0.96,122.5,8,2,1.2,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.4,0.04,1.5,0.17,,,,,,,31.80507
7386,HKW Erfurt-Ost 1,8713,UeNB,SWE Energie GmbH,BNA0256a,51.02547728,11.02801282,Erfurt,DE,BNA0256a,36526,25569,GAS_CC_BKP_b1999,GASCC99_BKP,NAT_GAS,36526,76.5,CC_BKP,CC,CHP1,,,19.0,0.47,103.1042,0.0,0,0.0,0,950,0,35,0.57,0.1314286,4,8,41.9985,0,0,0.53,0.96,267.75,8,2,1.2,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.34,0.034,0.34,,,,,,,,224.0
